id,codigo,nome,municipio,codigo_municipio,regional,codigo_regional,endereco,numero,bairro,cep,telefone,email,tipo,modalidade,ensino_fundamental,ensino_medio,educacao_infantil,educacao_especial,total_alunos,total_professores,total_pedagogos,total_turmas,tcgps,nome_tcgp,email_tcgp,serie1_alunos,serie1_turmas,serie2_alunos,serie2_turmas,serie3_alunos,serie3_turmas,serie4_alunos,serie4_turmas,serie5_alunos,serie5_turmas,meta_idebes_alfa_2024,idebes_alfa_2024,meta_idebes_alfa_2025,ativo
1,1001,EEEFM José Cupertino,Afonso Cláudio,3200102,SRE Afonso Cláudio,01,Rua Principal,100,Centro,29600-000,273333-1111,escola.josecupertino@edu.es.gov.br,Estadual,Regular,true,true,false,false,540,12,12,45,1,Ana Paula Silva,ana.paula.silva@edu.es.gov.br,132,8,120,8,108,8,96,6,84,6,6.5,6.7,7.1,true
2,1002,EEEFM Ana Monteiro,Afonso Cláudio,3200102,SRE Afonso Cláudio,01,Av. Brasil,200,Centro,29600-100,273333-2222,escola.anamonteiro@edu.es.gov.br,Estadual,Regular,true,true,false,false,456,10,10,38,1,Ana Paula Silva,ana.paula.silva@edu.es.gov.br,112,7,104,7,96,7,80,5,64,5,5.7,5.9,6.4,true
3,1003,EEEFM Pedro Silva,Afonso Cláudio,3200102,SRE Afonso Cláudio,01,Rua das Flores,300,Vila Nova,29600-200,273333-3333,escola.pedrosilva@edu.es.gov.br,Estadual,Regular,true,true,false,false,420,9,9,35,1,Ana Paula Silva,ana.paula.silva@edu.es.gov.br,100,6,96,6,88,6,72,5,64,5,6.2,6.4,6.8,true
4,1004,EEEFM Maria Santos,Afonso Cláudio,3200102,SRE Afonso Cláudio,01,Av. Principal,400,Centro,29600-300,273333-4444,escola.mariasantos@edu.es.gov.br,Estadual,Regular,true,false,false,false,264,6,6,22,1,Ana Paula Silva,ana.paula.silva@edu.es.gov.br,64,4,60,4,56,4,44,3,40,3,5.8,6.0,6.5,true
5,1005,EEEFM Carlos Oliveira,Brejetuba,3201159,SRE Afonso Cláudio,01,Rua dos Estudantes,150,Centro,29630-000,273333-5555,escola.carlosoliveira@edu.es.gov.br,Estadual,Regular,true,true,false,false,380,8,8,32,1,Ana Paula Silva,ana.paula.silva@edu.es.gov.br,92,5,88,5,80,5,64,4,56,4,6.0,6.2,6.6,true
6,1006,EEEFM Julia Costa,Brejetuba,3201159,SRE Afonso Cláudio,01,Av. Central,250,Centro,29630-100,273333-6666,escola.juliacosta@edu.es.gov.br,Estadual,Regular,true,false,false,false,300,7,7,25,1,Carlos Roberto Santos,carlos.roberto.santos@edu.es.gov.br,72,4,68,4,64,4,52,3,44,3,5.5,5.7,6.2,true
7,1007,EEEFM Roberto Mendes,Brejetuba,3201159,SRE Afonso Cláudio,01,Rua São Paulo,350,Vila Esperança,29630-200,273333-7777,escola.robertomendes@edu.es.gov.br,Estadual,Regular,true,true,false,false,460,10,10,38,1,Carlos Roberto Santos,carlos.roberto.santos@edu.es.gov.br,112,6,104,6,96,6,80,5,68,5,6.3,6.5,6.9,true
8,1008,EEEFM Fernanda Lima,Colatina,3201506,SRE Colatina,02,Av. Brasil,500,Centro,29700-000,273333-8888,escola.fernandalima@edu.es.gov.br,Estadual,Regular,true,true,false,false,620,14,14,52,1,Carlos Roberto Santos,carlos.roberto.santos@edu.es.gov.br,152,9,144,9,132,9,112,7,80,6,7.0,7.2,7.6,true
9,1009,EEEFM Lucas Pereira,Baixo Guandu,3200805,SRE Colatina,02,Rua Principal,600,Centro,29700-100,273333-9999,escola.lucaspereira@edu.es.gov.br,Estadual,Regular,true,true,false,false,580,13,13,48,1,Carlos Roberto Santos,carlos.roberto.santos@edu.es.gov.br,144,8,136,8,124,8,104,7,72,5,6.8,7.0,7.4,true
10,1010,EEEFM Beatriz Souza,Colatina,3201506,SRE Colatina,02,Av. Sete de Setembro,700,Bairro Novo,29700-200,273333-1010,escola.beatrizsouza@edu.es.gov.br,Estadual,Regular,true,false,false,false,420,9,9,35,1,Carlos Roberto Santos,carlos.roberto.santos@edu.es.gov.br,104,6,96,6,88,6,72,5,60,4,6.1,6.3,6.7,true
