escola_id,escola_nome,regional,municipio,turma,data,dia_letivo,aulas_previstas_LP,aulas_previstas_Mat,aulas_previstas_Ciencias,aulas_previstas_Historia,aulas_previstas_Geografia,aulas_dadas_LP,aulas_dadas_Mat,aulas_dadas_Ciencias,aulas_dadas_Historia,aulas_dadas_Geografia
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-03,1,2,2,0,0,1,2,2,0,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-04,2,2,2,0,0,2,2,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-05,3,1,1,1,1,2,1,1,1,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-06,4,1,1,1,0,3,1,1,1,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-07,5,1,1,0,1,2,1,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-10,6,2,1,1,0,2,2,1,1,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-11,7,1,2,1,1,0,1,1,1,1,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-12,8,2,2,1,1,0,2,2,0,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-13,9,1,2,0,1,2,1,2,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-14,10,2,2,0,0,2,2,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-17,11,1,1,1,0,3,1,1,1,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-18,12,2,2,0,0,1,2,2,0,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-19,13,1,1,1,0,2,0,1,1,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-20,14,1,1,0,0,4,0,1,0,0,4
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-21,15,2,1,0,0,3,2,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-24,16,2,1,0,1,2,2,1,0,1,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-25,17,1,2,1,1,1,1,2,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-26,18,1,1,1,1,1,1,1,1,1,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-27,19,2,2,0,0,2,2,2,0,0,2
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-02-28,20,2,2,1,0,0,2,2,1,0,0
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-03,21,1,1,0,1,3,0,1,0,0,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-04,22,2,1,0,1,1,2,1,0,0,1
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-05,23,1,1,0,1,3,1,1,0,1,3
1,"EEEFM José Cupertino","SRE Afonso Cláudio","Afonso Cláudio","1º Ano",2025-03-06,24,2,2,0,1,0,2,2,0,1,0
